variant,tadam_vbb342,tadam_whafol70,tadam_fbrricc236,tadam_khaw247,tadam_mbsclm2660,tadam_ccc29,tadam_pbnlat297,tadam_cma1973,tadam_lbm445,tadam_won363,tadam_dclbii33,tadam_culdd116,tadam_avr166,tadam_mbsclm28173,tadam_bas4,tadam_pbnlat15254,tadam_won364,tadam_lbladd606281,tadam_lol390,tadam_mbsclm8201,tadam_dul190,tadam_CCC503,tadam_kac696,tadam_mjrgast2037,tadam_lol490,tadam_eufdeperfca2108,tadam_tburps75iii,tadam_pfllewe72,tadam_hubsalix40,tadam_pnkiiie5,tadam_lub1314,tadam_rsa6519,tadam_nbl1183,tadam_fsugermquart13,tadam_pbnlat15637,tadam_vbapallat1723,tadam_mbscgm564,tadam_abs583,tadam_mbsclm314,tadam_bsbtheollatfol64,tadam_fub36a,tadam_akbwettf9,tadam_swltheolphil2122,tadam_lblcotrollxiv12,tadam_eufdeperfca2079,tadam_vbapallat963,tadam_pbm305,tadam_CCC83,tadam_no signature yet,tadam_mlm4989,tadam_culdd812,tadam_cmb183,tadam_gflchaa16,tadam_lbladd14819,tadam_fbmplut1511,tadam_pbnlat10431,tadam_mbm89,tadam_pba1234,tadam_lblroy14bix,tadam_mbsclm16223,tadam_lblhar658,tadam_CCC437,tadam_chltyp216,tadam_bun762,tadam_lubapel1,tadam_whaguelf360helm,tadam_penmasson71,tadam_mrmmik6365,tadam_pfllewe202,tadam_pbnlat14435,tadam_bwaw796,tadam_nblmar26,tadam_vbavatlat3782,tadam_gflchaa4,tadam_vbavatlat3783,tadam_aux146,tadam_pnkxxiiif204,tadam_vbavatlat1972,tadam_fbmplut2056,tadam_ctcb154,tadam_mbelat693,tadam_pbnlat15467,tadam_ctcb155,tadam_won1548,tadam_aux145,tadam_mbsclm19414,tadam_pbnlat5101,tadam_abs128,tadam_won378
eufrates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
da machet got evam von adams rippe do er slieff und gab adam allen dingen namen und weissaget von got und von der heiligen cristenhait und do adam einen  gehorsam rt das er den appfel ab da schamten sie sich das sie nakent waren und namen  für sich da wurden sie ge setzet ausz dem paradise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,1,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-,0,0,0,0
cum,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,-,1,1,1,1,1,1,1,1,1,1,-,1,1,0,-,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,-,1,1,1,-,1,1,1,1,-,1,1,1,1
femine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,-,1,1,-,1,1,1,1,1,1,1,1,1,-,1,1,-,1,1,1,1,1,1,1,1,1,1,1,-,1,0,1,1,0,1,1,1,1,1,0,-,1,1,1,1,0,-,1,1,0,1,1,1,1,1,1,0,1,1,-,1,1,-,-,-,-,-,-,-
femina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,1,0,0,1,0,0,0,0,0,1,-,0,0,0,0,1,-,0,0,1,0,0,0,0,0,0,1,0,0,-,0,0,-,-,-,-,-,-,-
de,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,-,1,-,1,1,1,1,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-
costa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,-,1,-,1,1,1,1,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,-,-,-,-,-,-,-
cuius,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
dor mientis,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
dormientis,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,-,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,-,-,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,-,-,-,-,-,-,-
femine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,0,-,-,1,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,1,-,-,-,-,0,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,1,1,1,1
facta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,1,-,-,0,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,0,-,-,-,-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,0,0,0,0,0,0
facte,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,-,1,-,1,1,-,1,1,1,1,1,1,1,1,1,1,1,-,1,0,1,1,-,1,1,1,1,1,0,0,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,1,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,1,0,0,-,0,0,0,0,0,1,1,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1,1,1,1,1,1,1
costa,-,-,-,-,-,0,-,0,-,-,-,0,0,-,-,0,-,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,0,1,0,0,-,0,-,0,0,0,1,1,-,0,-,-,-,0,-,-,-,-,-,0,0,0,-,0,-,-,1,0,0,1,1,1,1,1,0,1
eua,-,-,-,-,-,0,-,1,-,-,-,1,1,-,-,1,-,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,1,0,1,1,-,1,-,1,0,1,0,0,-,1,-,-,-,0,-,-,-,-,-,0,1,0,-,1,-,-,0,1,1,0,0,0,0,0,0,0
coste,-,-,-,-,-,0,-,0,-,-,-,0,0,-,-,0,-,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,0,0,0,0,-,0,-,0,0,0,0,0,-,0,-,-,-,0,-,-,-,-,-,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,1,0
euam,-,-,-,-,-,0,-,0,-,-,-,0,0,-,-,0,-,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,0,0,0,0,-,0,-,0,0,0,0,0,-,0,-,-,-,0,-,-,-,-,-,0,0,1,-,0,-,-,0,0,0,0,0,0,0,0,0,0
ipsius,-,-,-,-,-,0,-,0,-,-,-,0,0,-,-,0,-,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,0,0,0,0,-,0,-,0,0,0,0,0,-,0,-,-,-,1,-,-,-,-,-,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0
a domino,-,-,-,-,-,0,-,0,-,-,-,0,0,-,-,0,-,0,-,0,0,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,0,0,0,0,-,0,-,0,1,0,0,0,-,0,-,-,-,0,-,-,-,-,-,1,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0
eue,-,-,-,-,-,0,-,0,-,-,-,0,0,-,-,0,-,0,-,1,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,0,0,0,0,-,0,-,0,0,0,0,0,-,0,-,-,-,0,-,-,-,-,-,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0
no mine,-,-,-,-,-,1,-,0,-,-,-,0,0,-,-,0,-,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,0,0,0,0,-,0,-,0,0,0,0,0,-,0,-,-,-,0,-,-,-,-,-,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0
dormientis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,1,1,1,1
factem,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,0,0,-,-,0,-,0,0,-,0,-,0,-,0,1,0,-,0,-,-,-,0,-,-,-,-,-,-,0,-,-,0,-,0,0,0,0,0,0,0,0,0,-,0
formate,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,0,0,-,-,0,-,0,0,-,0,-,0,-,0,0,1,-,0,-,-,-,0,-,-,-,-,-,-,0,-,-,0,-,0,0,0,0,0,0,0,0,0,-,0
facte,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,0,0,-,-,0,-,0,0,-,0,-,0,-,0,0,0,-,0,-,-,-,0,-,-,-,-,-,-,0,-,-,0,-,0,1,0,0,1,1,1,1,1,-,1
nomine,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-,1,-,1,1,-,1,-,1,-,1,0,0,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,1,0,1,1,0,0,0,0,0,-,0
eua,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,-,-,-,-,-,0,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,0,-,-,0,-,-,-,-,-,-,-,-,-,-,1,-
imposita,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,0,-,-,-,0,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,-,0,1,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-
inposito,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-,1,-,-,-,0,-,-,-,0,-,0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,-,0,0,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-
in,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,0,-,-,-,0,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,-,0,0,-,-,1,-,-,-,-,-,-,-,-,-,-,0,-
imposito,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,1,-,1,-,-,-,-,-,-,-,0,0,-,0,0,0,0,0,0,-,1,1,-,0,0,0,0,0,1,1,0,-,-,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
nomine,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,0,-,0,-,0,-,-,-,-,-,-,-,1,1,-,1,1,1,1,1,1,-,0,0,-,1,1,1,1,1,0,0,1,-,-,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,-,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1
sicut,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ceterisque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
et,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,-,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
in,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
ceteris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-
ceteris,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
imposuit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
qui,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
imposito,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,1,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
imposiut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
rebus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,-,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-,1,-,-,-,-,1,1,1,1,1,1,1
et,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,0,0,0
post dormicionem prophetasset,0,0,0,0,0,0,0,-,0,-,0,-,-,0,0,-,-,0,0,-,-,0,0,-,0,0,0,0,0,0,1,0,0,-,-,0,-,-,-,-,0,0,0,0,0,-,-,0,-,-,0,-,-,0,-,0,-,0,-,0,0,0,-,0,0,-,0,0,0,-,0,0,0,-,0,0,-,0,-,-,-,-,0,0,0,0,0,0,0
imposita,0,0,0,0,0,1,0,-,0,-,0,-,-,0,0,-,-,0,0,-,-,0,0,-,0,0,0,0,0,0,0,0,0,-,-,0,-,-,-,-,0,0,0,0,0,-,-,0,-,-,0,-,-,0,-,0,-,0,-,0,0,1,-,0,0,-,0,0,0,-,0,0,0,-,0,0,-,0,-,-,-,-,0,0,0,0,0,1,0
impositis nominibus,0,0,0,0,0,0,0,-,0,-,0,-,-,0,0,-,-,1,0,-,-,0,0,-,0,0,0,0,0,0,0,0,0,-,-,0,-,-,-,-,0,0,0,0,0,-,-,0,-,-,0,-,-,0,-,0,-,0,-,0,0,0,-,0,0,-,1,0,0,-,0,0,0,-,0,0,-,0,-,-,-,-,0,0,0,0,0,0,0
imposito,1,1,1,1,1,0,1,-,1,-,1,-,-,1,1,-,-,0,1,-,-,1,1,-,1,1,1,1,1,0,0,1,1,-,-,1,-,-,-,-,1,0,1,1,1,-,-,1,-,-,1,-,-,1,-,1,-,1,-,1,1,0,-,1,1,-,0,1,1,-,1,1,1,-,1,1,-,1,-,-,-,-,1,1,1,1,1,0,1
imposuisset,0,0,0,0,0,0,0,-,0,-,0,-,-,0,0,-,-,0,0,-,-,0,0,-,0,0,0,0,0,0,0,0,0,-,-,0,-,-,-,-,0,1,0,0,0,-,-,0,-,-,0,-,-,0,-,0,-,0,-,0,0,0,-,0,0,-,0,0,0,-,0,0,0,-,0,0,-,0,-,-,-,-,0,0,0,0,0,0,0
nomine,0,0,0,0,0,0,0,-,0,-,0,-,-,0,0,-,-,0,0,-,-,0,0,-,0,0,0,0,0,1,0,0,0,-,-,0,-,-,-,-,0,0,0,0,0,-,-,0,-,-,0,-,-,0,-,0,-,0,-,0,0,0,-,0,0,-,0,0,0,-,0,0,0,-,0,0,-,0,-,-,-,-,0,0,0,0,0,0,0
inposito,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
de,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
christo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,-,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-,-,0,-,0,0,0,0,-,-,-,-,-,-,-
rebus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-,-,1,-,1,1,1,1,-,-,-,-,-,-,-
impo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-,-,-,-,-,-,-,-
necnon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,-
quod,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-
et,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-
ecclesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
et,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
de,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1
christo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,1,1,1,-,1,1,1,1,1,1,1,1
