variant,tadam_vbb342,tadam_whafol70,tadam_fbrricc236,tadam_khaw247,tadam_mbsclm2660,tadam_ccc29,tadam_pbnlat297,tadam_cma1973,tadam_lbm445,tadam_won363,tadam_dclbii33,tadam_culdd116,tadam_avr166,tadam_mbsclm28173,tadam_bas4,tadam_pbnlat15254,tadam_won364,tadam_lbladd606281,tadam_lol390,tadam_mbsclm8201,tadam_dul190,tadam_CCC503,tadam_kac696,tadam_mjrgast2037,tadam_lol490,tadam_eufdeperfca2108,tadam_tburps75iii,tadam_pfllewe72,tadam_hubsalix40,tadam_pnkiiie5,tadam_lub1314,tadam_rsa6519,tadam_nbl1183,tadam_fsugermquart13,tadam_pbnlat15637,tadam_vbapallat1723,tadam_mbscgm564,tadam_abs583,tadam_mbsclm314,tadam_bsbtheollatfol64,tadam_fub36a,tadam_akbwettf9,tadam_swltheolphil2122,tadam_lblcotrollxiv12,tadam_eufdeperfca2079,tadam_vbapallat963,tadam_pbm305,tadam_CCC83,tadam_no signature yet,tadam_mlm4989,tadam_culdd812,tadam_cmb183,tadam_gflchaa16,tadam_lbladd14819,tadam_fbmplut1511,tadam_pbnlat10431,tadam_mbm89,tadam_pba1234,tadam_lblroy14bix,tadam_mbsclm16223,tadam_lblhar658,tadam_CCC437,tadam_chltyp216,tadam_bun762,tadam_lubapel1,tadam_whaguelf360helm,tadam_penmasson71,tadam_mrmmik6365,tadam_pfllewe202,tadam_pbnlat14435,tadam_bwaw796,tadam_nblmar26,tadam_vbavatlat3782,tadam_gflchaa4,tadam_vbavatlat3783,tadam_aux146,tadam_pnkxxiiif204,tadam_vbavatlat1972,tadam_fbmplut2056,tadam_ctcb154,tadam_mbelat693,tadam_pbnlat15467,tadam_ctcb155,tadam_won1548,tadam_aux145,tadam_mbsclm19414,tadam_pbnlat5101,tadam_abs128,tadam_won378
nuditatis,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1
auditatis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
sua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-
facte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,0,-
factus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-
pery zomatibus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,1,-
sue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-
statim agnite,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
factis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,-,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1
est,0,-,-,-,-,0,0,-,-,0,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,1,0,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,0,0,-,-,-,-,-,0,-,0,-,-,-
parizomatibus,0,-,-,-,-,0,0,-,-,0,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,0,-,0,-,0,0,-,-,-,-,-,0,-,0,-,-,-
peryzhomatibus,0,-,-,-,-,0,0,-,-,1,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,0,0,-,-,-,-,-,0,-,0,-,-,-
perizom atibus,0,-,-,-,-,1,0,-,-,0,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,0,0,-,-,-,-,-,0,-,0,-,-,-
perysomatibus,0,-,-,-,-,0,0,-,-,0,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,1,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,0,0,-,-,-,-,-,1,-,0,-,-,-
peryzomatibus,1,-,-,-,-,0,1,-,-,0,-,-,1,-,-,-,-,0,-,-,0,-,-,-,-,-,-,0,1,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,0,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,1,-,0,1,-,-,-,-,-,0,-,0,-,-,-
periozomatibus,0,-,-,-,-,0,0,-,-,0,-,-,0,-,-,-,-,1,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,0,0,-,-,-,-,-,0,-,0,-,-,-
perizoma matibus,0,-,-,-,-,0,0,-,-,0,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,0,0,-,-,-,-,-,0,-,1,-,-,-
sibi,0,-,-,-,-,0,0,-,-,0,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,1,-,0,-,0,0,-,-,-,-,-,0,-,0,-,-,-
perisomatibus,0,-,-,-,-,0,0,-,-,0,-,-,0,-,-,-,-,0,-,-,1,-,-,-,-,-,-,0,0,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,1,0,-,-,-,-,-,0,-,0,-,-,-
perizomatibus,-,1,1,1,1,-,-,1,1,-,1,1,-,1,1,1,1,-,1,1,-,1,1,1,1,1,1,1,-,0,1,1,1,-,1,1,-,1,0,1,1,1,-,1,1,-,1,1,-,-,1,-,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,-,1,-,-,-,1,1,1,1,-,1,-,1,-,1
perizomatibus,-,0,0,0,0,-,-,0,0,-,0,0,-,0,0,0,0,-,0,0,-,0,0,0,0,0,0,0,-,1,0,0,0,-,0,0,-,0,1,0,0,0,-,0,0,-,0,0,-,-,0,-,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,0,-,-,-,0,0,0,0,-,0,-,0,-,0
de,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
a deo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
qi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,0,-,1,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,1,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
da,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
post increpationem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
folus suum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
foliis ficus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
de,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
paradiso cum ea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
polys fratrem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a domino,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,-,1,1,1,-,1,-,1,1,1,-,1,1,1,-,1,1,1,1,-,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1
perizomatibus,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,-
de,1,1,1,1,-,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,0,1,1,1,1,1,1,1,1,-,1,1,1,1,1,-,-,1,1,1,1,-,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,-,1,1,1,1,1,1,1,-
est,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,1,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-
eictus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0
paradyso,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,-,1,0,1,0,0,0,1,0,-,0,1,0,1,1,-,1,0,0,0,0,-,1,0,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0
paradiso,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,-,0,1,0,1,1,1,0,1,-,1,0,1,0,0,-,0,1,0,0,0,-,0,1,1,1,0,1,1,1,-,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,-,1,1,1,1,1,1,1,1,0,1
pardiso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,0,0,1,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0
paradisso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,0,0,0,1,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0
para diso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,1,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0
collatis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,-,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,0,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,0,1,-,-
merat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,0,0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,0,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,-
colloquatis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,0,-,-,-,0,-,-,-,0,1,-,-,-,-,-,-,-,0,0,-,-
collogatis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,0,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,1,0,-,-
colloca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,0,1,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,0,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,-
collocatuscherubin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,0,-,-,-,0,-,-,-,1,0,-,-,-,-,-,-,-,0,0,-,-
eiectus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,0,-,-,-,-,-,-,1,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,0,-,-,-,1,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,-
colocatis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,1,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,-
tis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,0,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
collocato,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,1,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-
post increpationem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,0,-,-,-,-,-,-,0,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-
et ante paradisi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,1,-,-,-,-,-,-,0,-,0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-
portam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,1,-,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,-,-,0,0
collocatis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,0,-,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,-,1,1,1,-,1,1,1,1,1,1,1,1,0,1,1,-,1,1,1,-,1,1,1,-,1,1,1,0,1,1,1,-,-,1,1,1,1,1,1,1,-,-,1,1
post tam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,-,-,0,0
postquam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,1,0,0,0,-,-,0,0,0,0,0,0,0,-,-,0,0
cherubyn,1,-,-,1,-,0,-,-,1,-,-,-,-,-,-,-,-,0,0,1,-,-,0,-,1,-,0,1,-,-,-,-,-,-,-,1,-,0,0,-,-,0,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,1,1,-,-,0,-,-,-,-,0,-,1,1,-,-,-,1,1,-,-,-,0,-,-,-,-,-,-,-,-,-,-
cherubym,0,-,-,0,-,1,-,-,0,-,-,-,-,-,-,-,-,0,0,0,-,-,1,-,0,-,1,0,-,-,-,-,-,-,-,0,-,0,1,-,-,0,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,0,0,-,-,1,-,-,-,-,0,-,0,0,-,-,-,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-
cheru,0,-,-,0,-,0,-,-,0,-,-,-,-,-,-,-,-,0,0,0,-,-,0,-,0,-,0,0,-,-,-,-,-,-,-,0,-,1,0,-,-,0,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,0,0,-,-,0,-,-,-,-,0,-,0,0,-,-,-,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-
an,0,-,-,0,-,0,-,-,0,-,-,-,-,-,-,-,-,0,0,0,-,-,0,-,0,-,0,0,-,-,-,-,-,-,-,0,-,0,0,-,-,0,-,-,-,-,-,0,-,-,-,0,1,-,-,-,-,0,0,-,-,0,-,-,-,-,0,-,0,0,-,-,-,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-
cherubim,0,-,-,0,-,0,-,-,0,-,-,-,-,-,-,-,-,0,1,0,-,-,0,-,0,-,0,0,-,-,-,-,-,-,-,0,-,0,0,-,-,1,-,-,-,-,-,1,-,-,-,1,0,-,-,-,-,0,0,-,-,0,-,-,-,-,0,-,0,0,-,-,-,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-
in,0,-,-,0,-,0,-,-,0,-,-,-,-,-,-,-,-,1,0,0,-,-,0,-,0,-,0,0,-,-,-,-,-,-,-,0,-,0,0,-,-,0,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,0,0,-,-,0,-,-,-,-,1,-,0,0,-,-,-,0,0,-,-,-,1,-,-,-,-,-,-,-,-,-,-
cherubin,-,1,1,-,1,-,1,1,-,1,1,1,1,1,1,1,1,0,-,-,1,1,-,1,-,1,-,0,1,1,1,1,1,1,-,-,-,-,-,1,1,-,1,1,1,1,1,-,-,1,1,-,1,1,1,1,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-
aditu,-,0,0,-,0,-,0,0,-,0,0,0,0,0,0,0,0,1,-,-,0,0,-,0,-,0,-,0,0,0,0,0,0,0,-,-,-,-,-,0,0,-,0,0,0,0,0,-,-,0,0,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-
